id_dossier;montant_reglement;date_reglement;type_reglement
4793385;100;2019-06-18;CB
4793386;20;2018-07-13;CB
4793387;30;2018-07-13;CB
4793388;20;2018-06-12;CB
4793395;70;2019-05-31;VIRT
4793398;20;2018-10-12;CB
4793403;40;2018-07-06;PRLVT
4793405;82;2018-01-30;"REGT CLIENT"
4793420;11625.9;2018-07-27;VIRT
4793425;60;2019-07-09;CB
4793434;250;2019-04-11;CB
4793437;121.6;2018-07-30;"REGT CLIENT"
4793445;83.17;2019-06-19;VIRT
4793470;20;2018-04-06;CB
4793477;83.39;2018-01-30;"REGT CLIENT"
4793482;21;2019-06-25;"SOUS TRAITANT"
4793495;105;2019-05-31;VIRT
4793509;105;2019-05-31;VIRT
4793510;28;2018-07-30;"REGT CLIENT"
4793514;1000;2018-04-16;CHQ
4793538;500;2018-06-28;CHQ
4793539;100;2019-04-30;CB
4793550;71.38;2018-08-30;"REGT CLIENT"
4793565;50;2018-10-01;CB
4793566;35;2019-05-31;VIRT
4793574;57.4;2018-01-30;"REGT CLIENT"
4793576;100;2018-10-09;CB
4793585;219.2;2018-03-30;"REGT CLIENT"
4793593;100;2018-12-24;VIRT
4793621;2621.88;2018-03-30;"REGT CLIENT"
4793629;579.71;2018-03-30;"REGT CLIENT"
4793630;352.18;2018-03-30;"REGT CLIENT"
4793664;60;2018-12-13;CB
4793690;20;2019-02-12;CB
4793693;21.6;2019-05-31;VIRT
4793695;30;2019-06-25;"SOUS TRAITANT"
4793699;392;2018-03-30;"REGT CLIENT"
4793703;30;2018-01-30;"REGT CLIENT"
4793716;80;2018-04-18;CB
4793725;50;2018-03-30;CB
4793728;108.59;2019-05-31;VIRT
4793758;80;2019-04-08;PRLVT
4793765;50;2018-12-05;CB
4793767;82;2018-01-30;"REGT CLIENT"
4793802;1273.55;2018-03-30;"REGT CLIENT"
4793806;82;2018-01-30;"REGT CLIENT"
4793807;50;2018-03-30;"REGT CLIENT"
4793825;82.5;2019-05-31;"SOUS TRAITANT"
4793832;113.5;2018-03-30;"REGT CLIENT"
4793836;2668.04;2018-03-30;"REGT CLIENT"
4793870;100;2018-12-04;CB
4793875;30;2019-06-25;"SOUS TRAITANT"
4793876;1616.85;2018-10-09;VIRT
4793879;50;2019-04-18;CB
4793880;229.62;2018-11-29;"REGT CLIENT"
4793888;80;2018-04-04;CB
4793891;30;2018-06-06;CB
4793893;150;2018-10-19;VIRT
4793894;58.9;2018-06-07;CB
4793907;100;2018-04-12;CB
4793931;70;2019-05-31;VIRT
4793939;200.2;2018-12-11;VIRT
4793947;61.58;2018-01-30;"REGT CLIENT"
4793948;200;2019-01-07;CB
4793949;138.61;2018-12-04;CB
4793955;50;2018-05-02;VIRT
4793969;150;2018-07-24;CB
4793970;250;2018-04-02;CB
4793974;60;2018-05-29;CB
4793976;20;2018-04-09;PRLVT
4793980;50;2019-02-08;CHQ
4793982;60;2018-01-30;"REGT CLIENT"
4793987;858.1;2018-03-30;"REGT CLIENT"
4793988;20;2018-09-07;CB
4793991;50;2018-03-26;CB
4793992;30;2018-03-30;CB
4794016;500;2018-04-16;CB
4794024;2727.65;2019-05-31;VIRT
4794028;50;2018-04-03;CB
4794030;41;2018-01-30;"REGT CLIENT"
4794031;540;2018-01-30;"REGT CLIENT"
4794053;2402.07;2018-01-30;"REGT CLIENT"
4794056;90;2018-01-30;"REGT CLIENT"
4794057;5715.38;2018-01-31;"REGT CLIENT"
4794072;732.86;2018-03-30;"REGT CLIENT"
4794091;50;2019-01-18;CB
4794092;14.66;2019-02-21;CB
4794096;150;2018-06-25;CB
4794105;250;2019-01-14;CHQ
4794107;550;2018-07-30;"REGT CLIENT"
4794116;50;2018-07-23;CB
4794133;50;2018-07-16;CB
4794142;20;2018-08-09;VIRT
4794147;461.24;2018-03-30;"REGT CLIENT"
4794151;1480;2018-01-30;"REGT CLIENT"
4794169;50;2018-09-05;CB
4794199;20;2018-05-14;CB
4794208;17.4;2018-10-01;VIRT
4794212;113.58;2018-03-30;"REGT CLIENT"
4794216;331.91;2018-01-30;"REGT CLIENT"
4794230;10;2018-08-13;CB
4794252;49;2019-05-31;VIRT
4794257;500;2019-03-07;CB
4794265;50;2019-05-15;PRLVT
4794266;220;2018-08-07;CB
4794282;70;2019-01-07;PRLVT
4794294;50;2018-01-30;"REGT CLIENT"
4794296;43.8;2018-04-18;CB
4794310;70;2018-01-30;"REGT CLIENT"
4794314;50;2018-12-06;CB
4794321;15;2019-06-25;"SOUS TRAITANT"
4794323;20;2018-04-05;CB
4794379;30;2018-05-23;CB
4908081;36.2;2019-06-21;VIRT
4908082;20;2018-10-10;PRLVT
4908083;224.86;2019-07-09;VIRT
4908106;50;2018-12-07;CB
4908108;50;2018-07-31;CB
4908115;40;2018-12-11;CB
4908143;50;2018-11-12;CB
4908146;127.78;2019-06-26;VIRT
4908149;50;2018-10-29;CB
4908150;318.56;2019-07-03;VIRT
4908151;50;2019-02-12;CB
4908159;695;2018-07-03;CB
4908160;72.4;2019-07-15;VIRT
4908163;87.23;2019-05-06;PRLVT
4908174;36.2;2019-06-11;VIRT
4908177;72.8;2019-05-31;VIRT
4908180;20;2018-11-08;CB
4908181;100;2019-04-02;PRLVT
4908182;20;2018-08-09;CB
4908183;100;2018-06-27;CB
4908184;150;2019-05-07;CB
4908208;63.34;2019-06-04;VIRT
4908213;45.69;2019-06-13;VIRT
4908229;10;2018-07-11;CB
4908230;50;2018-06-27;CB
4908243;49.93;2019-02-05;CB
4908251;119.46;2019-06-13;VIRT
4908253;15;2018-06-27;"REGT CLIENT"
4908278;115.84;2019-06-25;VIRT
4908295;30;2019-02-21;CB
4908313;100;2018-09-24;VIRT
4908315;637.23;2019-03-12;VIRT
4908316;50;2018-09-12;VIRT
4908320;65.16;2019-07-17;VIRT
4908321;60;2018-09-18;VIRT
4908326;18.1;2019-05-29;VIRT
4908328;89.24;2019-07-11;VIRT
4908341;100;2019-04-18;CB
4908349;30;2019-01-17;CB
4908365;43.56;2018-06-27;"REGT CLIENT"
4908376;1089.82;2018-08-13;CB
4908387;133.22;2019-06-18;VIRT
4908388;50;2018-10-08;CB
4908400;177.54;2019-06-06;VIRT
4908401;655.23;2018-08-07;CB
4908403;50;2018-10-23;CB
4908437;30;2018-10-17;CB
4908459;250.1;2018-06-27;"REGT CLIENT"
4908468;50.17;2018-08-13;CB
4908493;60;2018-09-03;CB
4908527;68.06;2019-06-06;VIRT
4908571;120;2018-10-02;CB
4908587;145.47;2019-07-03;VIRT
4908604;50;2019-03-05;CB
